Subject,Website,International,Ease
157,Expedia,1,6
158,Orbitz,1,3
159,Priceline,1,5
160,Expedia,0,1
161,Orbitz,0,7
162,Priceline,0,7
163,Expedia,1,7
164,Orbitz,1,4
165,Priceline,1,1
166,Expedia,0,5
167,Orbitz,0,5
168,Priceline,0,7
169,Expedia,1,5
170,Orbitz,1,1
171,Priceline,1,4
172,Expedia,0,1
173,Orbitz,0,1
174,Priceline,0,2
175,Expedia,1,7
176,Orbitz,1,1
177,Priceline,1,6
178,Expedia,0,4
179,Orbitz,0,6
180,Priceline,0,1
181,Expedia,1,5
182,Orbitz,1,4
183,Priceline,1,5
184,Expedia,0,4
185,Orbitz,0,5
186,Priceline,0,3
187,Expedia,1,7
188,Orbitz,1,2
189,Priceline,1,4
190,Expedia,0,1
191,Orbitz,0,7
192,Priceline,0,3
193,Expedia,1,5
194,Orbitz,1,4
195,Priceline,1,6
196,Expedia,0,3
197,Orbitz,0,6
198,Priceline,0,1
199,Expedia,1,5
200,Orbitz,1,1
201,Priceline,1,1
202,Expedia,0,3
203,Orbitz,0,7
204,Priceline,0,5
205,Expedia,1,7
206,Orbitz,1,3
207,Priceline,1,5
208,Expedia,0,3
209,Orbitz,0,5
210,Priceline,0,1
211,Expedia,1,5
212,Orbitz,1,4
213,Priceline,1,4
214,Expedia,0,1
215,Orbitz,0,6
216,Priceline,0,4
217,Expedia,1,4
218,Orbitz,1,7
219,Priceline,1,4
220,Expedia,0,4
221,Orbitz,0,7
222,Priceline,0,4
223,Expedia,1,7
224,Orbitz,1,5
225,Priceline,1,3
226,Expedia,0,4
227,Orbitz,0,7
228,Priceline,0,7
229,Expedia,1,5
230,Orbitz,1,2
231,Priceline,1,6
232,Expedia,0,4
233,Orbitz,0,7
234,Priceline,0,4
235,Expedia,1,3
236,Orbitz,1,2
237,Priceline,1,4
238,Expedia,0,1
239,Orbitz,0,7
240,Priceline,0,5
241,Expedia,1,6
242,Orbitz,1,1
243,Priceline,1,1
244,Expedia,0,2
245,Orbitz,0,4
246,Priceline,0,6
247,Expedia,1,4
248,Orbitz,1,3
249,Priceline,1,5
250,Expedia,0,4
251,Orbitz,0,5
252,Priceline,0,2
253,Expedia,1,5
254,Orbitz,1,3
255,Priceline,1,5
256,Expedia,0,4
257,Orbitz,0,4
258,Priceline,0,5
259,Expedia,1,7
260,Orbitz,1,3
261,Priceline,1,2
262,Expedia,0,1
263,Orbitz,0,3
264,Priceline,0,5
265,Expedia,1,6
266,Orbitz,1,1
267,Priceline,1,1
268,Expedia,0,1
269,Orbitz,0,6
270,Priceline,0,3
271,Expedia,1,5
272,Orbitz,1,3
273,Priceline,1,1
274,Expedia,0,3
275,Orbitz,0,4
276,Priceline,0,2
277,Expedia,1,3
278,Orbitz,1,3
279,Priceline,1,4
280,Expedia,0,4
281,Orbitz,0,4
282,Priceline,0,1
283,Expedia,1,3
284,Orbitz,1,5
285,Priceline,1,1
286,Expedia,0,1
287,Orbitz,0,7
288,Priceline,0,5
289,Expedia,1,4
290,Orbitz,1,3
291,Priceline,1,5
292,Expedia,0,5
293,Orbitz,0,6
294,Priceline,0,3
295,Expedia,1,7
296,Orbitz,1,1
297,Priceline,1,7
298,Expedia,0,3
299,Orbitz,0,7
300,Priceline,0,4
301,Expedia,1,2
302,Orbitz,1,4
303,Priceline,1,7
304,Expedia,0,5
305,Orbitz,0,6
306,Priceline,0,3
307,Expedia,1,5
308,Orbitz,1,4
309,Priceline,1,3
310,Expedia,0,3
311,Orbitz,0,3
312,Priceline,0,2
313,Expedia,1,4
314,Orbitz,1,5
315,Priceline,1,1
316,Expedia,0,2
317,Orbitz,0,7
318,Priceline,0,7
319,Expedia,1,1
320,Orbitz,1,2
321,Priceline,1,6
322,Expedia,0,5
323,Orbitz,0,6
324,Priceline,0,3
325,Expedia,1,6
326,Orbitz,1,4
327,Priceline,1,4
328,Expedia,0,4
329,Orbitz,0,4
330,Priceline,0,4
331,Expedia,1,3
332,Orbitz,1,3
333,Priceline,1,4
334,Expedia,0,4
335,Orbitz,0,4
336,Priceline,0,4
337,Expedia,1,7
338,Orbitz,1,7
339,Priceline,1,3
340,Expedia,0,6
341,Orbitz,0,7
342,Priceline,0,6
343,Expedia,1,4
344,Orbitz,1,4
345,Priceline,1,3
346,Expedia,0,5
347,Orbitz,0,5
348,Priceline,0,3
349,Expedia,1,5
350,Orbitz,1,3
351,Priceline,1,4
352,Expedia,0,1
353,Orbitz,0,7
354,Priceline,0,3
355,Expedia,1,5
356,Orbitz,1,4
357,Priceline,1,1
358,Expedia,0,5
359,Orbitz,0,5
360,Priceline,0,5
361,Expedia,1,4
362,Orbitz,1,2
363,Priceline,1,3
364,Expedia,0,2
365,Orbitz,0,4
366,Priceline,0,7
367,Expedia,1,5
368,Orbitz,1,1
369,Priceline,1,1
370,Expedia,0,5
371,Orbitz,0,4
372,Priceline,0,3
373,Expedia,1,1
374,Orbitz,1,2
375,Priceline,1,5
376,Expedia,0,1
377,Orbitz,0,5
378,Priceline,0,2
379,Expedia,1,7
380,Orbitz,1,7
381,Priceline,1,2
382,Expedia,0,1
383,Orbitz,0,4
384,Priceline,0,3
385,Expedia,1,6
386,Orbitz,1,3
387,Priceline,1,3
388,Expedia,0,1
389,Orbitz,0,7
390,Priceline,0,1
391,Expedia,1,1
392,Orbitz,1,7
393,Priceline,1,5
394,Expedia,0,1
395,Orbitz,0,3
396,Priceline,0,6
397,Expedia,1,4
398,Orbitz,1,1
399,Priceline,1,3
400,Expedia,0,3
401,Orbitz,0,4
402,Priceline,0,5
403,Expedia,1,3
404,Orbitz,1,3
405,Priceline,1,3
406,Expedia,0,2
407,Orbitz,0,7
408,Priceline,0,6
409,Expedia,1,6
410,Orbitz,1,4
411,Priceline,1,7
412,Expedia,0,2
413,Orbitz,0,3
414,Priceline,0,1
415,Expedia,1,7
416,Orbitz,1,1
417,Priceline,1,4
418,Expedia,0,1
419,Orbitz,0,3
420,Priceline,0,3
421,Expedia,1,4
422,Orbitz,1,2
423,Priceline,1,1
424,Expedia,0,3
425,Orbitz,0,7
426,Priceline,0,1
427,Expedia,1,7
428,Orbitz,1,6
429,Priceline,1,4
430,Expedia,0,1
431,Orbitz,0,3
432,Priceline,0,4
433,Expedia,1,1
434,Orbitz,1,3
435,Priceline,1,3
436,Expedia,0,6
437,Orbitz,0,6
438,Priceline,0,5
439,Expedia,1,5
440,Orbitz,1,1
441,Priceline,1,3
442,Expedia,0,1
443,Orbitz,0,6
444,Priceline,0,4
445,Expedia,1,2
446,Orbitz,1,4
447,Priceline,1,7
448,Expedia,0,1
449,Orbitz,0,6
450,Priceline,0,2
451,Expedia,1,5
452,Orbitz,1,1
453,Priceline,1,4
454,Expedia,0,4
455,Orbitz,0,7
456,Priceline,0,3
457,Expedia,1,5
458,Orbitz,1,2
459,Priceline,1,6
460,Expedia,0,2
461,Orbitz,0,7
462,Priceline,0,4
463,Expedia,1,6
464,Orbitz,1,3
465,Priceline,1,3
466,Expedia,0,1
467,Orbitz,0,7
468,Priceline,0,1
469,Expedia,1,4
470,Orbitz,1,3
471,Priceline,1,3
472,Expedia,0,2
473,Orbitz,0,3
474,Priceline,0,6
475,Expedia,1,1
476,Orbitz,1,1
477,Priceline,1,5
478,Expedia,0,5
479,Orbitz,0,6
480,Priceline,0,5
481,Expedia,1,6
482,Orbitz,1,3
483,Priceline,1,3
484,Expedia,0,7
485,Orbitz,0,4
486,Priceline,0,5
487,Expedia,1,6
488,Orbitz,1,5
489,Priceline,1,2
490,Expedia,0,4
491,Orbitz,0,5
492,Priceline,0,7
493,Expedia,1,4
494,Orbitz,1,7
495,Priceline,1,5
496,Expedia,0,1
497,Orbitz,0,5
498,Priceline,0,4
499,Expedia,1,1
500,Orbitz,1,2
501,Priceline,1,2
502,Expedia,0,7
503,Orbitz,0,6
504,Priceline,0,2
505,Expedia,1,4
506,Orbitz,1,5
507,Priceline,1,7
508,Expedia,0,5
509,Orbitz,0,5
510,Priceline,0,3
511,Expedia,1,3
512,Orbitz,1,3
513,Priceline,1,5
514,Expedia,0,5
515,Orbitz,0,7
516,Priceline,0,7
517,Expedia,1,3
518,Orbitz,1,6
519,Priceline,1,4
520,Expedia,0,3
521,Orbitz,0,6
522,Priceline,0,4
523,Expedia,1,5
524,Orbitz,1,5
525,Priceline,1,3
526,Expedia,0,3
527,Orbitz,0,6
528,Priceline,0,2
529,Expedia,1,7
530,Orbitz,1,4
531,Priceline,1,3
532,Expedia,0,3
533,Orbitz,0,7
534,Priceline,0,2
535,Expedia,1,7
536,Orbitz,1,3
537,Priceline,1,5
538,Expedia,0,2
539,Orbitz,0,7
540,Priceline,0,6
541,Expedia,1,4
542,Orbitz,1,7
543,Priceline,1,3
544,Expedia,0,5
545,Orbitz,0,3
546,Priceline,0,6
547,Expedia,1,7
548,Orbitz,1,1
549,Priceline,1,4
550,Expedia,0,7
551,Orbitz,0,5
552,Priceline,0,6
553,Expedia,1,7
554,Orbitz,1,3
555,Priceline,1,2
556,Expedia,0,3
557,Orbitz,0,4
558,Priceline,0,6
559,Expedia,1,1
560,Orbitz,1,2
561,Priceline,1,4
562,Expedia,0,1
563,Orbitz,0,5
564,Priceline,0,4
565,Expedia,1,6
566,Orbitz,1,5
567,Priceline,1,4
568,Expedia,0,4
569,Orbitz,0,2
570,Priceline,0,1
571,Expedia,1,6
572,Orbitz,1,5
573,Priceline,1,2
574,Expedia,0,5
575,Orbitz,0,4
576,Priceline,0,6
577,Expedia,1,6
578,Orbitz,1,4
579,Priceline,1,1
580,Expedia,0,1
581,Orbitz,0,7
582,Priceline,0,6
583,Expedia,1,5
584,Orbitz,1,5
585,Priceline,1,4
586,Expedia,0,1
587,Orbitz,0,7
588,Priceline,0,6
589,Expedia,1,3
590,Orbitz,1,3
591,Priceline,1,1
592,Expedia,0,2
593,Orbitz,0,3
594,Priceline,0,5
595,Expedia,1,6
596,Orbitz,1,2
597,Priceline,1,6
598,Expedia,0,5
599,Orbitz,0,2
600,Priceline,0,2
